"","node.degree","betweenness.centrality","closeness.centrality","node.transitivity"
"ASV3",84,1553.56802379444,6.64054718108772e-05,0.555077452667814
"ASV4",19,302.38221407476,5.88754783632617e-05,0.649122807017544
"ASV6",1,0,6.48214169961755e-05,NA
"ASV7",102,677.631416359819,6.56728180206213e-05,0.537371384197243
"ASV9",1,0,6.07459603936338e-05,NA
"ASV10",136,1138.35044819568,6.58457891617831e-05,0.568300653594771
"ASV11",74,2135.41800772713,6.69568128557081e-05,0.727508330248056
"ASV14",10,17916.2513514416,6.29089079013588e-05,0.555555555555556
"ASV15",17,607.328160560863,5.8868546535586e-05,0.727941176470588
"ASV16",2,0,6.33472697326745e-05,1
"ASV17",16,1674.64645369581,6.74399784192069e-05,0.55
"ASV18",26,2.19705630394173,6.37145587766805e-05,0.88
"ASV19",12,1.20846598323008,6.50999283900788e-05,0.818181818181818
"ASV20",5,142.833333333333,6.69344042838019e-05,0.6
"ASV28",90,914.76329067804,6.64187035069075e-05,0.579026217228464
"ASV29",17,51.0257841364975,5.69540949994305e-05,0.882352941176471
"ASV31",83,107.208786333931,6.55222120298781e-05,0.765501028504261
"ASV32",5,840.882336348683,6.74946004319654e-05,0.9
"ASV34",41,217.993755137189,6.46370628918622e-05,0.613414634146341
"ASV35",37,7.30087897282764,6.38528829576655e-05,0.875375375375375
"ASV37",26,59.1641578532477,6.35930047694754e-05,0.781538461538462
"ASV38",25,6176.11509626366,6.75401864109145e-05,0.353333333333333
"ASV39",6,1213.8834936645,6.61506912747238e-05,0.333333333333333
"ASV40",49,5.8574844471755,6.39018467633715e-05,0.869897959183673
"ASV42",1,0,6.3971340839304e-05,NA
"ASV44",1,0,6.25312656328164e-05,NA
"ASV46",2,0,2.56e-06,1
"ASV47",69,1523.61410407751,6.72992798977051e-05,0.676044330775789
"ASV48",122,464.99782239377,6.57073395098232e-05,0.614686356862214
"ASV49",37,1.78009844777368,6.38610383804841e-05,0.926426426426426
"ASV51",76,1662.85785508578,6.7367286445702e-05,0.636140350877193
"ASV53",5,0.0666666666666667,6.45619471883272e-05,0.9
"ASV54",81,1818.72044928676,6.5180550123843e-05,0.49537037037037
"ASV55",11,0.661018013830206,6.51296079197603e-05,0.909090909090909
"ASV56",23,1.93811801678452,6.5095690665278e-05,0.928853754940711
"ASV57",139,2109.22126901462,6.58674746410223e-05,0.526222500260661
"ASV60",73,3210.95955181762,6.7330999192028e-05,0.530821917808219
"ASV61",58,626.9545769844,6.49519355676799e-05,0.585601935874168
"ASV65",42,6.97775027006194,6.60938532716457e-05,0.932636469221835
"ASV68",129,937.257995567027,6.4279745452208e-05,0.537911821705426
"ASV69",22,0.259593126801463,6.51380927566441e-05,0.965367965367965
"ASV71",6,0,6.28417017532835e-05,1
"ASV72",56,52.3370634498196,6.6185717122245e-05,0.824675324675325
"ASV73",83,4532.99041447218,6.70151454228656e-05,0.672935645019101
"ASV74",4,0,2.56411571341391e-06,1
"ASV76",36,1032.31485964305,6.66000666000666e-05,0.704761904761905
"ASV77",70,693.874014607931,6.59935326338019e-05,0.646376811594203
"ASV80",85,4364.37059947817,6.70106546940964e-05,0.502240896358543
"ASV81",12,0,5.50873133917259e-05,1
"ASV84",1,0,2.55999344641678e-06,NA
"ASV86",50,869.866667085657,6.46663217796172e-05,0.539591836734694
"ASV87",12,1.57467532467532,5.69411228789432e-05,0.878787878787879
"ASV88",22,8.74289099666179,6.45827951433738e-05,0.917748917748918
"ASV89",3,54.3838998880884,6.6595631326585e-05,0.666666666666667
"ASV91",103,20001.1393825524,6.78288001085261e-05,0.472111174566914
"ASV92",25,339.873946800696,6.59413122321134e-05,0.8
"ASV93",13,0.595731110974519,6.54535934022778e-05,0.884615384615385
"ASV95",95,169.19634131184,6.55350940428599e-05,0.730123180291153
"ASV96",48,11.5711646679437,6.58848333113717e-05,0.87322695035461
"ASV97",1,0,6.43624895410955e-05,NA
"ASV98",20,13.0465748120372,6.50999283900788e-05,0.784210526315789
"ASV99",22,790.081384211438,5.8885879166176e-05,0.584415584415584
"ASV101",91,2265.39222957926,6.65203219583583e-05,0.568253968253968
"ASV103",3,0,6.66222518321119e-05,1
"ASV104",56,56.5044282433983,6.54150585464774e-05,0.761038961038961
"ASV106",58,1168.32755425301,6.6880684858213e-05,0.707199032062916
"ASV108",70,5384.67742784884,6.51763018966304e-05,0.549068322981366
"ASV111",144,1703.65453575628,6.5880492786086e-05,0.532731157731158
"ASV112",70,20.5280516359412,6.54065014062398e-05,0.846790890269151
"ASV114",1,0,6.33793890226898e-05,NA
"ASV115",8,0,6.43004115226338e-05,1
"ASV118",57,147.057381189402,6.61725780836421e-05,0.739348370927318
"ASV121",15,3.94967532467533,5.69508514152287e-05,0.780952380952381
"ASV122",12,0,6.20501365103003e-05,1
"ASV123",112,270.895898856816,6.56598818122127e-05,0.676319176319176
"ASV125",99,3120.28283788021,6.65513110608279e-05,0.53865182436611
"ASV126",58,308.63537630952,6.50533437418683e-05,0.641863278886872
"ASV128",8,0.509799748310652,6.52784124290097e-05,0.821428571428571
"ASV129",15,3261.22917716986,6.71636778830009e-05,0.333333333333333
"ASV130",116,370.916156382568,6.5733254453428e-05,0.667166416791604
"ASV132",20,88.6308212602527,6.35041595224487e-05,0.857894736842105
"ASV133",17,32.2627738471945,6.61813368630046e-05,0.852941176470588
"ASV134",64,5184.14757175716,6.64716830630151e-05,0.623015873015873
"ASV136",76,1143.96006208873,6.51508241579256e-05,0.515438596491228
"ASV137",5,73.2833333333333,6.70421024403325e-05,0.9
"ASV138",22,314.072132025958,6.33111744222855e-05,0.770562770562771
"ASV139",23,587.525211652909,6.6326192213305e-05,0.640316205533597
"ASV140",8,0,6.41231163834562e-05,1
"ASV141",68,1401.57348799669,6.50152785904688e-05,0.51009657594381
"ASV142",13,0.558648265703536,6.55694708543702e-05,0.91025641025641
"ASV143",2,0,6.38039941300325e-05,1
"ASV144",17,51.0257841364975,5.69540949994305e-05,0.882352941176471
"ASV145",2,0,2.55591054313099e-06,1
"ASV147",15,272.790198221482,6.32631112798128e-05,0.904761904761905
"ASV148",88,507.044774328342,6.63702130483839e-05,0.600052246603971
"ASV149",98,1577.8308106031,6.65247472059606e-05,0.540079949505575
"ASV150",2,0,5.87440521647183e-05,1
"ASV153",5,0,6.25664768816868e-05,1
"ASV157",17,51.0257841364975,5.69540949994305e-05,0.882352941176471
"ASV159",152,1848.30150244686,6.5837118967674e-05,0.504444057162775
"ASV160",125,707.659103617691,6.57462195923734e-05,0.609548387096774
"ASV165",25,827.132883238355,6.4532782653588e-05,0.7
"ASV168",1,0,2.55182761894069e-06,NA
"ASV170",1,0,6.22045284896741e-05,NA
"ASV172",87,35.7368652090178,6.41025641025641e-05,0.789361133386795
"ASV173",72,120.850086356663,6.5470734581642e-05,0.748826291079812
"ASV177",110,382.287527262531,6.57246138678935e-05,0.622351959966639
"ASV180",60,350.908503285755,6.54578778555999e-05,0.619774011299435
"ASV181",4,1210,6.51720542231491e-05,0.5
"ASV182",2,0,6.49730361899811e-05,1
"ASV183",63,2015.61884505944,6.69120107059217e-05,0.707117255504352
"ASV184",2,0,6.55866727880895e-05,1
"ASV185",72,5163.60559582941,6.69523299410819e-05,0.653755868544601
"ASV186",1,0,6.27037873087535e-05,NA
"ASV188",8,1862.67764818713,6.75173857268247e-05,0.5
"ASV191",54,747.865230262855,6.7208817796895e-05,0.755415793151642
"ASV192",21,1244.52632469763,6.50406504065041e-05,0.652380952380952
"ASV194",16,15.3453343965772,6.29287017808823e-05,0.783333333333333
"ASV195",41,319.597123674097,6.38488060273273e-05,0.835365853658537
"ASV197",47,3087.95378335889,6.70600858369099e-05,0.444033302497687
"ASV200",2,0,6.51720542231491e-05,1
"ASV203",80,1217.95499853063,6.64319404769813e-05,0.615189873417722
"ASV204",137,1439.05835078011,6.57894736842105e-05,0.565586088449979
"ASV205",100,5275.38784255545,6.71050865655617e-05,0.593737373737374
"ASV206",17,0.0921898095150375,6.35404752827551e-05,0.970588235294118
"ASV207",90,7118.78738978881,6.65690320862735e-05,0.501373283395755
