"p"	"freq"	"freq.pred"	"pred.lwr"	"pred.upr"	"fit_class"
"ASV608"	9.21769798012183e-05	0.375	0.275422321062518	0.196011740604776	0.372114417953924	"Above prediction"
"ASV140"	9.28449289302127e-05	0.510416666666667	0.27722693546796	0.197577489751747	0.374019030417625	"Above prediction"
"ASV215"	9.28449289302127e-05	0.125	0.27722693546796	0.197577489751747	0.374019030417625	"Below prediction"
"ASV280"	9.28449289302127e-05	0.447916666666667	0.27722693546796	0.197577489751747	0.374019030417625	"Above prediction"
"ASV199"	9.3512878059207e-05	0.59375	0.279028595706582	0.199142359457275	0.37591884131574	"Above prediction"
"ASV742"	9.3512878059207e-05	0.270833333333333	0.279028595706582	0.199142359457275	0.37591884131574	"As predicted"
"ASV663"	9.41808271882013e-05	0.447916666666667	0.28082729931213	0.200706329779041	0.377813865847858	"Above prediction"
"ASV906"	9.48487763171957e-05	0.125	0.282623043865046	0.20226938107856	0.379704118999541	"Below prediction"
"ASV275"	9.68526237041787e-05	0.135416666666667	0.28799249970823	0.206952828887923	0.385346396936461	"Below prediction"
"ASV694"	9.68526237041787e-05	0.354166666666667	0.28799249970823	0.206952828887923	0.385346396936461	"As predicted"
"ASV877"	9.68526237041787e-05	0.416666666666667	0.28799249970823	0.206952828887923	0.385346396936461	"Above prediction"
"ASV119"	9.88564710911617e-05	0.489583333333333	0.293335241409749	0.211627326418009	0.390946252553938	"Above prediction"
"ASV729"	9.88564710911617e-05	0.427083333333333	0.293335241409749	0.211627326418009	0.390946252553938	"Above prediction"
"ASV651"	9.9524420220156e-05	0.375	0.295110208722334	0.213183418954119	0.392803508821437	"As predicted"
"ASV213"	0.00010019236934915	0.427083333333333	0.296882199280126	0.214738445593665	0.394656106540698	"Above prediction"
"ASV520"	0.00010019236934915	0.302083333333333	0.296882199280126	0.214738445593665	0.394656106540698	"As predicted"
"ASV380"	0.000100860318478145	0.125	0.298651211073801	0.21629238917521	0.396504059009125	"Below prediction"
"ASV611"	0.000100860318478145	0.583333333333333	0.298651211073801	0.21629238917521	0.396504059009125	"Above prediction"
"ASV780"	0.000100860318478145	0.125	0.298651211073801	0.21629238917521	0.396504059009125	"Below prediction"
"ASV219"	0.000101528267607139	0.4375	0.300417242138501	0.217845232786792	0.398347379360165	"Above prediction"
"ASV4"	0.000101528267607139	0.197916666666667	0.300417242138501	0.217845232786792	0.398347379360165	"Below prediction"
"ASV399"	0.000102864165865128	0.427083333333333	0.303940354442601	0.220947553671932	0.402020175449248	"Above prediction"
"ASV750"	0.000104868013252111	0.3125	0.309202620842881	0.225592376266355	0.407494948068954	"As predicted"
"ASV538"	0.000105535962381105	0.71875	0.310950728734616	0.227138278309037	0.409310742852198	"Above prediction"
"ASV685"	0.000105535962381105	0.427083333333333	0.310950728734616	0.227138278309037	0.409310742852198	"Above prediction"
"ASV563"	0.000106203911510099	0.572916666666667	0.312695843370238	0.228682968609227	0.411121993200281	"Above prediction"
"ASV450"	0.000106871860639094	0.65625	0.314437963132811	0.230226432093883	0.412928711076804	"Above prediction"
"ASV110"	0.000107539809768088	0.5	0.316177086447918	0.231768653901887	0.414730908315202	"Above prediction"
"ASV841"	0.000108207758897082	0.40625	0.317913211783445	0.233309619380393	0.416528596621993	"As predicted"
"ASV603"	0.000108875708026077	0.270833333333333	0.319646337649367	0.234849314081271	0.418321787579915	"As predicted"
"ASV889"	0.000108875708026077	0.322916666666667	0.319646337649367	0.234849314081271	0.418321787579915	"As predicted"
"ASV1002"	0.000109543657155071	0.427083333333333	0.321376462597536	0.236387723757642	0.420110492650986	"Above prediction"
"ASV392"	0.000109543657155071	0.375	0.321376462597536	0.236387723757642	0.420110492650986	"As predicted"
"ASV805"	0.000110211606284065	0.489583333333333	0.323103585221468	0.237924834360497	0.421894723179477	"Above prediction"
"ASV267"	0.00011087955541306	0.4375	0.324827704156128	0.239460632035397	0.423674490394802	"Above prediction"
"ASV518"	0.00011087955541306	0.635416666666667	0.324827704156128	0.239460632035397	0.423674490394802	"Above prediction"
"ASV429"	0.000111547504542054	0.541666666666667	0.326548818077725	0.240995103119263	0.425449805414323	"Above prediction"
"ASV821"	0.000111547504542054	0.302083333333333	0.326548818077725	0.240995103119263	0.425449805414323	"As predicted"
"ASV860"	0.000111547504542054	0.177083333333333	0.326548818077725	0.240995103119263	0.425449805414323	"Below prediction"
"ASV983"	0.000111547504542054	0.4375	0.326548818077725	0.240995103119263	0.425449805414323	"Above prediction"
"ASV397"	0.000112215453671048	0.5625	0.328266925703498	0.242528234137235	0.427220679246088	"Above prediction"
"ASV480"	0.000112215453671048	0.53125	0.328266925703498	0.242528234137235	0.427220679246088	"Above prediction"
"ASV70"	0.000112883402800043	0.4375	0.329982025791504	0.244060011799612	0.428987122791482	"Above prediction"
"ASV142"	0.000113551351929037	0.416666666666667	0.331694117140412	0.245590422998866	0.430749146847813	"As predicted"
"ASV113"	0.000114219301058031	0.71875	0.333403198589292	0.247119454806725	0.43250676211083	"Above prediction"
"ASV556"	0.000114219301058031	0.6875	0.333403198589292	0.247119454806725	0.43250676211083	"Above prediction"
"ASV220"	0.000114887250187026	0.40625	0.335109269017407	0.248647094471329	0.43425997917716	"As predicted"
"ASV66"	0.000114887250187026	0.416666666666667	0.335109269017407	0.248647094471329	0.43425997917716	"As predicted"
"ASV705"	0.000114887250187026	0.604166666666667	0.335109269017407	0.248647094471329	0.43425997917716	"Above prediction"
"ASV709"	0.000114887250187026	0.270833333333333	0.335109269017407	0.248647094471329	0.43425997917716	"As predicted"
"ASV202"	0.000116223148445014	0.354166666666667	0.338512372528125	0.251698147228774	0.437753260624919	"As predicted"
"ASV625"	0.000116891097574009	0.625	0.340209403568356	0.253221535675259	0.439493345725125	"Above prediction"
"ASV708"	0.000116891097574009	0.520833333333333	0.340209403568356	0.253221535675259	0.439493345725125	"Above prediction"
"ASV474"	0.000118226995831997	0.614583333333333	0.343594419408192	0.256263976334387	0.442960455796979	"Above prediction"
"ASV1020"	0.000118894944960992	0.427083333333333	0.34528240240101	0.257783004887264	0.444687500953854	"As predicted"
"ASV306"	0.000118894944960992	0.604166666666667	0.34528240240101	0.257783004887264	0.444687500953854	"Above prediction"
"ASV259"	0.000119562894089986	0.125	0.346967367635961	0.259300556747878	0.446410219507272	"Below prediction"
"ASV591"	0.000119562894089986	0.541666666666667	0.346967367635961	0.259300556747878	0.446410219507272	"Above prediction"
"ASV174"	0.00012023084321898	0.6875	0.34864931430643	0.260816620480839	0.448128621341466	"Above prediction"
"ASV229"	0.00012023084321898	0.65625	0.34864931430643	0.260816620480839	0.448128621341466	"Above prediction"
"ASV590"	0.00012023084321898	0.395833333333333	0.34864931430643	0.260816620480839	0.448128621341466	"As predicted"
"ASV679"	0.00012023084321898	0.5625	0.34864931430643	0.260816620480839	0.448128621341466	"Above prediction"
"ASV833"	0.00012023084321898	0.5625	0.34864931430643	0.260816620480839	0.448128621341466	"Above prediction"
"ASV434"	0.000120898792347975	0.510416666666667	0.350328241644149	0.262331184804338	0.449842716260826	"Above prediction"
"ASV597"	0.000121566741476969	0.541666666666667	0.352004148918995	0.263844238587899	0.451552513991768	"Above prediction"
"ASV650"	0.000121566741476969	0.15625	0.352004148918995	0.263844238587899	0.451552513991768	"Below prediction"
"ASV93"	0.000121566741476969	0.34375	0.352004148918995	0.263844238587899	0.451552513991768	"As predicted"
"ASV176"	0.000122234690605963	0.625	0.353677035438784	0.26535577085016	0.453258024184551	"Above prediction"
"ASV869"	0.000122234690605963	0.447916666666667	0.353677035438784	0.26535577085016	0.453258024184551	"As predicted"
"ASV171"	0.000122902639734958	0.53125	0.355346900549077	0.266865770756719	0.454959256415054	"Above prediction"
"ASV402"	0.000122902639734958	0.572916666666667	0.355346900549077	0.266865770756719	0.454959256415054	"Above prediction"
"ASV638"	0.000122902639734958	0.208333333333333	0.355346900549077	0.266865770756719	0.454959256415054	"Below prediction"
