	Latitude	Longitude	Altitude	Temperature	Precipitation	TOC	NH4	NO3	pH	Conductivity	TN
S1	52.96481667	122.5634833	432	-4.2	445	10.02	18.959657	1.93	5.1	108.7	0.28
S2	52.94876667	122.6108667	445	-4.3	449	6.94	21.057305	1.46	6.53	31.2	0.22
S3	52.94931667	122.6099167	430	-4.3	449	8.38	14.3193725	2.38	5.13	68.2	0.26
S4	52.949	122.6104	430	-4.3	449	8.17	20.8964525	1.38	5.81	64.4	0.25
S5	52.95291667	122.6057	429	-4.3	449	8.41	9.65465	0.77	5.5	33.5	0.24
S6	52.953	122.6122833	429	-4.3	449	8.13	15.94577	1.31	5.37	33.3	0.26
S7	52.95288333	122.6062167	432	-4.3	449	12.81	29.81833	1.84	5.31	22.9	0.41
S9	52.98708333	122.44045	436	-4.2	444	16.94	34.858375	4.45	5.9	82.6	0.51
S10	52.97806667	122.4760167	436	-4.2	445	65.37	15.30586	7.68	5.16	61	1.76
S11	52.978	122.4762	433	-4.2	445	62.84	16.056505	7.06	5	32.4	1.65
S12	52.97798333	122.4765333	435	-4.2	445	67.53	2.53070875	2.07	5.26	46.1	1.81
S13	52.978	122.477	432	-4.2	445	52.68	9.765385	5.84	5	56.5	1.65
S15	49.31796667	117.6673167	536	-0.7	301	0.27	8.9576225	0	9.8	117	0.04
S16	49.3173	117.6703667	537	-0.7	301	0.7	7.72442	0.31	9.58	139.5	0.02
S17	49.31705	117.6709	535	-0.7	301	0.69	8.904005	0	9.9	241	0.09
S18	49.32048333	117.6740667	541	-0.7	301	0.64	7.1703725	0	9.1	93.3	0.05
S19	49.32051667	117.6738333	543	-0.7	301	0.4	6.8486675	1.08	8.76	76.2	0.04
S20	49.32058333	117.6732667	544	-0.7	301	1.96	18.8589875	0.46	8.68	152.2	0.09
S22	48.26868333	134.66925	38	2	668	4.89	19.59176	1.31	6.81	13.1	0.23
S23	48.25776667	134.6558833	40	1.9	668	3.85	28.5458825	0.38	6.36	23.4	0.17
S24	48.25795	134.6559833	45	1.9	668	7.8	18.698135	1.08	5.78	27.8	0.37
S25	48.25705	134.6382167	37	1.9	668	0.97	5.3	0.54	6.5	17	0.06
S26	47.20046667	124.2395	143	3.6	428	2.06	5.7405725	0.38	8.76	102.2	0.07
S27	47.19763333	124.2395833	146	3.6	428	2.17	5.57972	1.46	8.66	86.6	0.07
S28	47.19846667	124.2374833	140	3.6	428	0.75	3.8103425	3.46	10.54	447	0.04
S30	47.1928	124.22355	143	3.6	428	5.35	8.546555	1.38	9.12	147.9	0.16
S34	46.83041667	130.3062333	84	3.2	550	1.89	11.7814775	3.69	7.9	47.9	0.07
