SampleID	Saline
S1	Non-saline soil
S2	Non-saline soil
S3	Non-saline soil
S4	Non-saline soil
S5	Non-saline soil
S6	Non-saline soil
S7	Non-saline soil
S9	Non-saline soil
S10	Non-saline soil
S11	Non-saline soil
S12	Non-saline soil
S13	Non-saline soil
S15	Non-saline soil
S16	Non-saline soil
S17	Non-saline soil
S18	Non-saline soil
S19	Non-saline soil
S20	Non-saline soil
S22	Non-saline soil
S23	Non-saline soil
S24	Non-saline soil
S25	Non-saline soil
S26	Non-saline soil
S27	Non-saline soil
S28	Non-saline soil
S30	Non-saline soil
S34	Non-saline soil
S35	Non-saline soil
S36	Non-saline soil
S37	Non-saline soil
S61	Saline soil
S62	Saline soil
S63	Saline soil
S65	Saline soil
S85	Saline soil
S86	Saline soil
S87	Saline soil
S88	Saline soil
S89	Saline soil
S112	Saline soil
S113	Saline soil
S114	Saline soil
S161	Saline soil
S162	Saline soil
S164	Saline soil
S165	Saline soil
S166	Saline soil
S167	Saline soil
S168	Saline soil
S169	Saline soil
S170	Saline soil
S171	Saline soil
S172	Saline soil
S173	Saline soil
S174	Saline soil
S175	Saline soil
S176	Saline soil
S177	Saline soil
S179	Saline soil
S182	Saline soil
S187	Saline soil
S188	Saline soil
S191	Saline soil
S194	Saline soil
S196	Saline soil
S197	Saline soil
S198	Saline soil
S201	Saline soil
S202	Saline soil
S203	Saline soil
S204	Saline soil
S205	Saline soil
S206	Saline soil
S207	Saline soil
S208	Saline soil
S209	Saline soil
S210	Saline soil
S213	Saline soil
S214	Saline soil
S215	Saline soil
S216	Saline soil
S217	Saline soil
S218	Saline soil
S219	Saline soil
S220	Saline soil
S221	Saline soil
S222	Saline soil
S223	Saline soil
S224	Saline soil
S225	Saline soil
