	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_4272	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__	g__	s__
OTU_236	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_399	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__	s__
OTU_1556	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 17	f__	g__	s__
OTU_32	k__Archaea	p__Miscellaneous Crenarchaeotic Group	c__	o__	f__	g__	s__
OTU_706	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Frankiales	f__Nakamurellaceae	g__Nakamurella	s__
OTU_2246	k__Bacteria	p__Chloroflexi	c__S085	o__	f__	g__	s__
OTU_3692	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__
OTU_5342	k__Bacteria	p__Lentisphaerae	c__WCHB1-41	o__	f__	g__	s__
OTU_50	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__	s__
OTU_8058	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__
OTU_7152	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_999	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobulbaceae	g__Desulfocapsa	s__
OTU_3650	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes BD2-2	o__	f__	g__	s__
OTU_305	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophaceae	g__Syntrophus	s__
OTU_11016	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 18	f__	g__	s__
OTU_13742	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__	s__
OTU_4502	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Pirellula	s__
OTU_5248	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Arenimonas	s__
OTU_408	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__Geobacteraceae	g__Geoalkalibacter	s__
OTU_4558	Unassigned	p__	c__	o__	f__	g__	s__
OTU_4474	k__Bacteria	p__Latescibacteria	c__	o__	f__	g__	s__
OTU_4716	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__	s__
OTU_5004	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_6426	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadales Incertae Sedis	g__	s__
OTU_3449	k__Bacteria	p__Planctomycetes	c__Pla3 lineage	o__	f__	g__	s__
OTU_10128	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Subgroup 7	f__	g__	s__
OTU_75	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__	s__
OTU_2069	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__SC-I-84	f__	g__	s__
OTU_356	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Halieaceae	g__	s__
OTU_825	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Anaerolinea	s__
OTU_4105	k__Bacteria	p__Armatimonadetes	c__Chthonomonadetes	o__Chthonomonadales	f__	g__	s__
OTU_2526	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__PHOS-HE51	g__	s__
OTU_482	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Haloferula	s__
OTU_13756	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylomonas	s__
OTU_7092	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Holophagae Incertae Sedis	f__	g__Thermoanaerobaculum	s__
OTU_4276	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__MSBL9	f__	g__	s__
