"","taxon.name"
"1","OTU_6339"
"2","OTU_2370"
"3","OTU_7218"
"4","OTU_1780"
"5","OTU_600"
"6","OTU_3030"
"7","OTU_10088"
"8","OTU_361"
"9","OTU_8398"
"10","OTU_5031"
"11","OTU_1922"
"12","OTU_37"
"13","OTU_7220"
"14","OTU_8860"
"15","OTU_1013"
"16","OTU_10269"
"17","OTU_2810"
"18","OTU_112"
"19","OTU_276"
"20","OTU_4104"
"21","OTU_150"
"22","OTU_642"
"23","OTU_4304"
"24","OTU_6279"
"25","OTU_4218"
"26","OTU_254"
"27","OTU_1751"
"28","OTU_777"
"29","OTU_4150"
"30","OTU_10136"
"31","OTU_771"
"32","OTU_14304"
"33","OTU_149"
"34","OTU_148"
"35","OTU_5863"
"36","OTU_256"
"37","OTU_10309"
"38","OTU_4231"
"39","OTU_1831"
"40","OTU_6295"
"41","OTU_6256"
"42","OTU_800"
"43","OTU_504"
"44","OTU_1034"
"45","OTU_1429"
"46","OTU_12874"
"47","OTU_1516"
"48","OTU_415"
"49","OTU_5919"
"50","OTU_6791"
"51","OTU_3239"
"52","OTU_11590"
"53","OTU_2389"
"54","OTU_952"
"55","OTU_817"
"56","OTU_3010"
"57","OTU_4655"
"58","OTU_1569"
"59","OTU_3845"
"60","OTU_811"
"61","OTU_2881"
"62","OTU_778"
"63","OTU_6167"
"64","OTU_380"
"65","OTU_3739"
"66","OTU_321"
"67","OTU_9001"
"68","OTU_2668"
"69","OTU_1775"
"70","OTU_2330"
"71","OTU_1659"
"72","OTU_10574"
"73","OTU_83"
"74","OTU_2251"
"75","OTU_6378"
"76","OTU_3516"
"77","OTU_599"
"78","OTU_297"
"79","OTU_13496"
"80","OTU_13796"
"81","OTU_3716"
"82","OTU_14021"
"83","OTU_7785"
"84","OTU_10616"
"85","OTU_2738"
"86","OTU_757"
"87","OTU_1629"
"88","OTU_2394"
"89","OTU_14000"
"90","OTU_609"
"91","OTU_6780"
"92","OTU_7659"
"93","OTU_1270"
"94","OTU_6062"
"95","OTU_12701"
"96","OTU_6240"
"97","OTU_14163"
"98","OTU_2288"
"99","OTU_7943"
"100","OTU_9145"
"101","OTU_1427"
"102","OTU_2708"
"103","OTU_5562"
"104","OTU_2107"
"105","OTU_11038"
"106","OTU_1772"
"107","OTU_4694"
"108","OTU_7086"
"109","OTU_13415"
"110","OTU_9678"
"111","OTU_2009"
"112","OTU_7933"
"113","OTU_4788"
"114","OTU_1579"
"115","OTU_773"
"116","OTU_1552"
"117","OTU_12273"
"118","OTU_7758"
"119","OTU_8459"
"120","OTU_6539"
"121","OTU_4309"
"122","OTU_4706"
"123","OTU_6035"
"124","OTU_1600"
"125","OTU_5865"
"126","OTU_1798"
"127","OTU_4307"
"128","OTU_14198"
"129","OTU_1164"
"130","OTU_6074"
"131","OTU_12152"
"132","OTU_1301"
"133","OTU_7900"
"134","OTU_2268"
"135","OTU_1177"
"136","OTU_2766"
"137","OTU_2011"
"138","OTU_12202"
"139","OTU_7689"
"140","OTU_13637"
"141","OTU_10550"
"142","OTU_14053"
"143","OTU_12921"
"144","OTU_8572"
"145","OTU_8891"
"146","OTU_8663"
"147","OTU_923"
"148","OTU_6268"
"149","OTU_3982"
"150","OTU_5835"
"151","OTU_1951"
"152","OTU_5952"
"153","OTU_2045"
"154","OTU_1346"
"155","OTU_859"
"156","OTU_3056"
"157","OTU_1571"
"158","OTU_2086"
"159","OTU_5264"
"160","OTU_7"
"161","OTU_8077"
"162","OTU_8541"
"163","OTU_156"
"164","OTU_5299"
"165","OTU_5147"
"166","OTU_2704"
"167","OTU_3768"
"168","OTU_8854"
"169","OTU_10835"
"170","OTU_5083"
"171","OTU_10207"
"172","OTU_1"
"173","OTU_13824"
"174","OTU_5654"
"175","OTU_244"
"176","OTU_263"
"177","OTU_239"
"178","OTU_277"
"179","OTU_1405"
"180","OTU_2028"
"181","OTU_90"
"182","OTU_911"
"183","OTU_2615"
"184","OTU_193"
"185","OTU_3906"
"186","OTU_81"
"187","OTU_194"
"188","OTU_829"
"189","OTU_4347"
"190","OTU_8015"
"191","OTU_3081"
"192","OTU_1952"
"193","OTU_922"
"194","OTU_548"
"195","OTU_4644"
"196","OTU_10925"
"197","OTU_933"
"198","OTU_10246"
"199","OTU_7663"
"200","OTU_4056"
"201","OTU_13562"
"202","OTU_359"
"203","OTU_533"
"204","OTU_1939"
"205","OTU_10312"
"206","OTU_1424"
"207","OTU_12050"
"208","OTU_1675"
"209","OTU_4305"
"210","OTU_8"
"211","OTU_3"
"212","OTU_1325"
"213","OTU_245"
"214","OTU_4272"
"215","OTU_1909"
"216","OTU_34"
"217","OTU_382"
"218","OTU_10146"
"219","OTU_4731"
"220","OTU_1565"
"221","OTU_4184"
"222","OTU_227"
"223","OTU_1292"
"224","OTU_26"
"225","OTU_35"
"226","OTU_27"
