"","node.degree","betweenness.centrality","closeness.centrality","node.transitivity"
"OTU_50",1,0,1,NA
"OTU_4558",1,0,1,NA
"OTU_1",1,0,0.032258064516129,NA
"OTU_55",2,1,0.5,0
"OTU_84",1,0,1,NA
"OTU_12963",1,0,0.333333333333333,NA
"OTU_16",3,4,0.142857142857143,0.333333333333333
"OTU_12",2,1,0.5,0
"OTU_297",1,0,0.333333333333333,NA
"OTU_11038",1,0,1,NA
"OTU_11210",1,0,1,NA
"OTU_65",1,0,0.0357142857142857,NA
"OTU_25",4,7,0.166666666666667,0.166666666666667
"OTU_6283",2,0,0.5,1
"OTU_13824",3,10,0.0476190476190476,0.333333333333333
"OTU_102",1,0,0.1,NA
"OTU_79",2,0,0.125,1
"OTU_4731",2,1,0.5,0
"OTU_4914",1,0,1,NA
"OTU_9915",1,0,1,NA
"OTU_10312",2,1,0.5,0
"OTU_656",1,0,1,NA
"OTU_83",1,0,0.333333333333333,NA
"OTU_127",4,0,0.05,1
"OTU_578",1,0,0.333333333333333,NA
"OTU_82",2,1,0.5,0
"OTU_357",1,0,1,NA
"OTU_13790",1,0,1,NA
"OTU_6866",1,0,1,NA
"OTU_189",4,0,0.05,1
"OTU_2190",1,0,0.1,NA
"OTU_71",6,10.25,0.0555555555555556,0.6
"OTU_9",1,0,1,NA
"OTU_13873",1,0,1,NA
"OTU_1112",1,0,1,NA
"OTU_4239",1,0,1,NA
"OTU_5115",1,0,1,NA
"OTU_12584",1,0,1,NA
"OTU_1873",1,0,0.333333333333333,NA
"OTU_80",1,0,0.333333333333333,NA
"OTU_12807",1,0,1,NA
"OTU_137",8,26.75,0.0714285714285714,0.392857142857143
"OTU_354",1,0,0.333333333333333,NA
"OTU_5956",1,0,1,NA
"OTU_62",1,0,0.333333333333333,NA
"OTU_11288",1,0,0.333333333333333,NA
"OTU_81",2,0,0.0434782608695652,1
"OTU_106",7,8.75,0.0625,0.523809523809524
"OTU_2597",1,0,1,NA
"OTU_4909",1,0,0.333333333333333,NA
"OTU_103",1,0,0.03125,NA
"OTU_8546",2,0,0.5,1
"OTU_196",1,0,0.0909090909090909,NA
"OTU_7041",1,0,1,NA
"OTU_46",5,0.25,0.0526315789473684,0.9
"OTU_10329",1,0,1,NA
"OTU_34",1,0,0.333333333333333,NA
"OTU_13880",2,1,0.5,0
"OTU_11034",1,0,1,NA
"OTU_11982",1,0,1,NA
"OTU_7024",2,0,0.5,1
"OTU_11494",1,0,1,NA
"OTU_39",2,10,0.0454545454545455,0
"OTU_6945",1,0,0.333333333333333,NA
"OTU_2837",1,0,1,NA
