"","node.degree","betweenness.centrality","closeness.centrality","node.transitivity"
"OTU_50",7,148.067731328067,0.000609384521633151,0.571428571428571
"OTU_305",5,372,0.000597728631201434,0.2
"OTU_4558",1,0,1,NA
"OTU_6426",2,1,0.5,0
"OTU_1",9,115.127935235412,0.000647249190938511,0.805555555555556
"OTU_59",10,2766.84169550469,0.000665335994677312,0.177777777777778
"OTU_2733",1,0,0.00062266500622665,NA
"OTU_52",19,3863.9587540852,0.000823723228995058,0.192982456140351
"OTU_4147",3,0.666666666666667,0.00034965034965035,0.666666666666667
"OTU_2",2,452.08070122578,0.000746268656716418,0
"OTU_1761",4,326.202898550725,0.000608272506082725,0.333333333333333
"OTU_192",1,0,1,NA
"OTU_3",3,3,0.333333333333333,0
"OTU_12367",4,292.666666666667,0.000609013398294762,0.166666666666667
"OTU_94",1,0,0.000683060109289617,NA
"OTU_37",2,236,0.00053475935828877,0
"OTU_575",6,155.02982299943,0.000704721634954193,0.866666666666667
"OTU_2480",5,136.367867305107,0.000702740688685875,0.6
"OTU_1127",4,2143.06798053665,0.000664010624169987,0.333333333333333
"OTU_13495",1,0,0.0666666666666667,NA
"OTU_55",19,6854.7102308208,0.00081366965012205,0.157894736842105
"OTU_1013",1,0,0.000500751126690035,NA
"OTU_84",3,236,0.0005249343832021,0.333333333333333
"OTU_31",1,0,0.333333333333333,NA
"OTU_3303",6,2604.87723649808,0.000691085003455425,0.266666666666667
"OTU_22",1,0,0.000474833808167142,NA
"OTU_1362",1,0,0.000628140703517588,NA
"OTU_12963",1,0,0.0769230769230769,NA
"OTU_16",10,3082.6365351238,0.000836120401337793,0.311111111111111
"OTU_402",3,236,0.000727802037845706,0.333333333333333
"OTU_12",4,2739.98005035089,0.000716845878136201,0.166666666666667
"OTU_7611",1,0,1,NA
"OTU_332",2,52.2606832738411,0.000706214689265537,0
"OTU_8",1,0,0.2,NA
"OTU_117",3,18.0222222222222,0.000535618639528656,0.666666666666667
"OTU_10487",7,239.131148374514,0.000734753857457752,0.333333333333333
"OTU_297",8,349.607578370116,0.000752445447705041,0.357142857142857
"OTU_19",21,5228.60021036979,0.000789889415481833,0.261904761904762
"OTU_1068",1,0,0.000467508181393174,NA
"OTU_9314",1,0,0.05,NA
"OTU_3437",1,0,0.000689655172413793,NA
"OTU_11038",1,0,1,NA
"OTU_11210",4,19.5,0.0263157894736842,0.5
"OTU_7",7,0,0.000646412411118293,1
"OTU_65",11,239.891435926483,0.000653167864141084,0.709090909090909
"OTU_25",8,833.873026980738,0.000791765637371338,0.321428571428571
"OTU_395",1,0,1,NA
"OTU_5380",9,524.36686619193,0.00075642965204236,0.416666666666667
"OTU_233",3,1,0.000691085003455425,0.666666666666667
"OTU_217",6,528.814231868394,0.000598086124401914,0.533333333333333
"OTU_6135",2,4,0.0909090909090909,0
"OTU_2229",4,116.321571934782,0.000728332119446468,0.5
"OTU_6283",3,0,0.0555555555555556,1
"OTU_4973",1,0,1,NA
